City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
223,sohag,0,EG,6/13/18 6:58 PM,29,26.55,31.7,82.78,5.06
224,uglegorsk,68,RU,6/13/18 6:58 PM,90,49.08,142.06,40.75,8.19
225,sur,0,OM,6/13/18 6:58 PM,87,22.57,59.53,87.91,7.74
226,zaykovo,92,RU,6/13/18 6:58 PM,96,57.56,62.76,54.16,8.52
227,san julian,40,SV,6/13/18 6:37 PM,74,13.7,-89.56,87.8,4.7
228,san jose,92,PH,6/13/18 6:57 PM,100,15.79,120.99,73.42,3.38
229,ventspils,0,LV,6/13/18 6:20 PM,62,57.39,21.56,59,6.93
230,esperance,40,TT,6/13/18 6:00 PM,83,10.24,-61.45,82.4,11.41
231,nikolskoye,0,RU,6/13/18 6:00 PM,50,59.7,30.79,57.2,4.47
232,nara,12,JP,6/13/18 6:00 PM,82,34.68,135.8,60.8,6.93
233,santa rosalia,20,IT,6/13/18 6:20 PM,78,38.07,13.27,73.4,18.34
234,cedar city,1,US,6/13/18 5:53 PM,8,37.68,-113.06,91.4,19.46
235,nurota,92,UZ,6/13/18 6:00 PM,31,40.56,65.69,78.8,13.87
236,aklavik,20,CA,6/13/18 6:00 PM,47,68.22,-135.01,55.4,8.05
237,portland,90,US,6/13/18 6:00 PM,63,45.52,-122.67,60.8,3.36
238,hervey bay,80,AU,6/13/18 6:48 PM,100,-25.3,152.85,64.69,11.21
239,dakar,0,SN,6/13/18 6:00 PM,69,14.69,-17.45,82.4,6.93
240,mount gambier,92,AU,6/13/18 6:52 PM,84,-37.83,140.78,49.39,6.4
241,jingdezhen,88,CN,6/13/18 6:58 PM,87,29.29,117.2,71.08,2.71
242,xuddur,0,SO,6/13/18 6:58 PM,54,4.12,43.89,78.28,15.01
243,los andes,0,CL,6/13/18 7:00 PM,34,-32.83,-70.6,53.6,4.7
244,pachora,32,IN,6/13/18 6:58 PM,64,20.66,75.35,80.53,12.77
245,blagoyevo,92,RU,6/13/18 6:58 PM,79,63.37,47.92,45.61,8.08
246,camalu,0,MX,6/13/18 6:58 PM,41,30.85,-116.07,81.34,3.83
247,bulolo,56,PG,6/13/18 6:58 PM,99,-7.2,146.64,61.99,0.13
248,college,90,US,6/13/18 5:58 PM,66,64.86,-147.8,55.4,4.38
249,houma,0,CN,6/13/18 6:52 PM,68,35.63,111.36,58.3,2.37
250,calama,0,CL,6/13/18 6:00 PM,8,-22.46,-68.93,66.2,24.16
251,mastic beach,90,US,6/13/18 6:38 PM,94,40.77,-72.85,68,11.41
252,santa helena,20,BR,6/13/18 6:58 PM,65,-2.23,-45.3,88.36,8.75
253,gazli,64,UZ,6/13/18 6:58 PM,35,40.13,63.45,80.98,12.55
254,sola,75,FI,6/13/18 6:20 PM,66,62.78,29.36,51.8,1.12
255,te anau,0,NZ,6/13/18 6:52 PM,83,-45.41,167.72,24.28,2.82
256,troitskoye,0,RU,6/13/18 6:58 PM,71,52.98,84.68,62.08,4.38
257,saint-leu,0,RE,6/13/18 6:30 PM,68,-21.15,55.28,71.6,9.17
258,tura,68,IN,6/13/18 6:58 PM,95,25.52,90.21,75.31,3.38
259,sorong,88,ID,6/13/18 6:51 PM,100,-0.86,131.25,77.11,6.51
260,ponta delgada,75,PT,6/13/18 6:30 PM,94,37.73,-25.67,69.8,14.99
261,port hardy,75,CA,6/13/18 6:00 PM,87,50.7,-127.42,53.6,3.36
262,cherrapunji,92,IN,6/13/18 6:59 PM,99,25.28,91.72,70.27,2.26
263,nioro,0,GM,6/13/18 6:59 PM,46,13.79,-15.05,97.18,5.17
264,praia,40,BR,6/13/18 6:00 PM,35,-20.25,-43.81,84.2,8.05
265,hasaki,75,JP,6/13/18 6:00 PM,100,35.73,140.83,64.4,1.12
266,hobyo,24,SO,6/13/18 6:51 PM,68,5.35,48.53,79.45,22.84
267,kuryk,0,KZ,6/13/18 6:59 PM,49,43.18,51.68,69.91,5.39
268,sungaipenuh,20,ID,6/13/18 6:59 PM,95,-2.08,101.38,64.87,1.25
269,bereda,20,ES,6/13/18 6:30 PM,77,43.27,-7.54,60.8,9.17
270,beeville,75,US,6/13/18 6:15 PM,46,28.4,-97.75,95,9.17
271,namibe,0,AO,6/13/18 6:52 PM,95,-15.19,12.15,72.34,15.68
272,los llanos de aridane,75,ES,6/13/18 6:30 PM,68,28.66,-17.92,69.8,17.22
273,saint-augustin,0,FR,6/13/18 6:30 PM,72,44.83,-0.61,68,11.41
274,huadian,80,CN,6/13/18 6:59 PM,94,42.97,126.75,59.47,2.37
275,linxia,32,CN,6/13/18 6:54 PM,74,35.6,103.21,46.96,2.26
276,grindavik,75,IS,6/13/18 6:30 PM,76,63.84,-22.43,50,9.17
277,emerald,76,AU,6/13/18 6:59 PM,96,-23.53,148.16,59.74,4.38
278,varna,0,BG,6/13/18 6:30 PM,77,43.22,27.9,69.8,9.17
279,sabinopolis,12,BR,6/13/18 6:59 PM,71,-18.67,-43.08,76.66,2.93
280,klaksvik,92,FO,6/13/18 6:20 PM,100,62.23,-6.59,48.2,29.97
281,mizdah,76,LY,6/13/18 6:59 PM,18,31.45,12.98,95.56,4.61
282,pangai,20,TO,6/13/18 6:00 PM,94,-19.8,-174.35,75.2,6.93
283,buarcos,20,PT,6/13/18 6:00 PM,82,40.16,-8.88,62.6,19.46
284,alofi,100,NU,6/13/18 6:00 PM,100,-19.06,-169.92,68,2.24
285,pavlogradka,36,RU,6/13/18 6:59 PM,39,54.2,73.56,61.18,8.86
286,coquimbo,0,CL,6/13/18 6:00 PM,62,-29.95,-71.34,55.4,11.41
287,port arthur,1,US,6/13/18 6:35 PM,59,29.9,-93.93,93.2,8.05
288,tambovka,20,UA,6/13/18 6:59 PM,35,46.93,35.45,78.19,7.63
289,rio grande,75,BR,6/13/18 6:00 PM,62,-32.03,-52.1,53.6,18.34
290,taft,92,PH,6/13/18 6:59 PM,100,11.9,125.42,77.2,5.73
291,sao felix do xingu,0,BR,6/13/18 6:59 PM,36,-6.64,-51.99,93.31,3.94
292,talnakh,12,RU,6/13/18 6:52 PM,100,69.49,88.39,41.38,2.71
293,olga,1,US,6/13/18 6:00 PM,50,34.11,-118.17,95,5.82
294,port-cartier,40,CA,6/13/18 6:00 PM,38,50.03,-66.88,60.8,12.75
295,cidreira,0,BR,6/13/18 6:51 PM,77,-30.17,-50.22,53.98,24.85
296,angoche,0,MZ,6/13/18 6:52 PM,100,-16.23,39.91,78.55,10.09
297,porciuncula,12,BR,6/13/18 6:59 PM,62,-20.96,-42.04,82.6,3.94
298,tynda,20,RU,6/13/18 6:59 PM,81,55.15,124.74,45.79,3.71
299,usoke,0,TZ,6/13/18 6:59 PM,72,-5.09,32.32,64.96,1.59
300,altay,88,CN,6/13/18 6:59 PM,73,47.83,88.13,49.84,2.04
301,gizo,0,IL,6/13/18 6:20 PM,73,31.8,34.94,77,3.36
302,nome,40,US,6/13/18 6:15 PM,49,30.04,-94.42,93.2,8.75
303,esso,24,RU,6/13/18 6:59 PM,93,55.93,158.7,31.93,1.7
304,conde,0,BR,6/13/18 6:59 PM,78,-11.81,-37.61,80.35,9.98
305,kailua,75,US,6/13/18 5:57 PM,78,21.39,-157.74,80.6,8.05
306,gat,0,SN,6/13/18 6:00 PM,30,14.69,-16.54,98.6,6.93
307,saratoga springs,75,US,6/13/18 6:51 PM,64,43.08,-73.79,75.2,10.29
308,uyskoye,88,RU,6/13/18 6:59 PM,53,54.37,60.01,57.94,8.75
309,iskandar,20,IR,6/13/18 6:30 PM,49,38.02,46.58,68,13.87
310,paita,0,PE,6/13/18 6:00 PM,65,-5.09,-81.11,77,16.11
311,zhigansk,0,RU,6/13/18 6:51 PM,75,66.77,123.37,52.81,2.71
